lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan_daily,Feb_daily,Mar_daily,Apr_daily,May_daily,Jun_daily,Jul_daily,Aug_daily,Sep_daily,Oct_daily,Nov_daily,Dec_daily
120.6,22.45,5.94,5.306,8.471,28.844,136.279,379.594,351.427,437.122,199.711,31.119,5.854,2.878,0.19,0.19,0.27,0.96,4.40,12.65,11.34,14.10,6.66,1.00,0.20,0.09
120.35,22.8,5.943,7.384,8.828,36.916,160.951,328.902,291.88,337.715,139.34,12.648,3.424,4.454,0.19,0.26,0.28,1.23,5.19,10.96,9.42,10.89,4.64,0.41,0.11,0.14
120.25,22.85,5.952,5.452,7.544,37.468,123.821,330.908,210.603,269.164,80.52,3.717,1.816,1.377,0.19,0.19,0.24,1.25,3.99,11.03,6.79,8.68,2.68,0.12,0.06,0.04
120.35,22.95,6.01,8.744,10.257,34.376,137.532,337.299,280.91,343,121.81,9.919,4.933,2.551,0.19,0.31,0.33,1.15,4.44,11.24,9.06,11.06,4.06,0.32,0.16,0.08
120.5,22.4,6.044,2.28,6.968,21.368,97.418,310.956,270.664,270.408,126.09,11.469,0.864,1.018,0.19,0.08,0.22,0.71,3.14,10.37,8.73,8.72,4.20,0.37,0.03,0.03
120.65,22.65,6.045,5.529,12.106,35.35,205.602,427.199,473.215,507.953,282.645,58.154,5.49,3.478,0.20,0.20,0.39,1.18,6.63,14.24,15.27,16.39,9.42,1.88,0.18,0.11
120.3,22.8,6.063,5.484,8.62,40.63,127.158,336.051,260.737,287.403,93.004,8.16,4.526,3.69,0.20,0.20,0.28,1.35,4.10,11.20,8.41,9.27,3.10,0.26,0.15,0.12
120.4,22.8,6.097,7.515,9.39,37.922,159.088,351.032,335.467,363.499,139.293,11.168,2.65,3.431,0.20,0.27,0.30,1.26,5.13,11.70,10.82,11.73,4.64,0.36,0.09,0.11
120.75,22.3,6.12,5.814,6.406,26.106,128.196,354.128,330.178,351.823,225.88,30.999,10.78,4.655,0.20,0.21,0.21,0.87,4.14,11.80,10.65,11.35,7.53,1.00,0.36,0.15
120.6,22.55,6.179,5.024,14.044,27.022,152.618,408.233,448.855,444.345,204.444,43.579,5.62,3.12,0.20,0.18,0.45,0.90,4.92,13.61,14.48,14.33,6.81,1.41,0.19,0.10
